projectname,packagename,sessionID,activities_executed,states_visited,violations,widgets,widgets_with_issues,1.1.1 - Non-text Content (A),3.3.2 Labels or Instructions,1.3.5 - Identify Input Purpose (AA),1.4.3 - Contrast Minimum (AA),2.5.5 - Target Size (AAA),GENERAL - Duplicate Content Description (label),BBC - DESIGN - Spacing,1.4.1 - Use of Color (A),1.3.4 - Orientation(AA),2.4.2 - Page Titled (A),exectime
FediPhoto,com.fediphoto,1596208941,4,36,32,125,26,3,3,0,3,14,0,2,0,4,3,1800409
syncthing-android-fdroid,com.github.catfriend1.syncthingandroid.debug,1596256243,1,9,26,40,24,3,0,0,20,0,0,2,0,1,0,1800812
android-gotify,com.github.gotify,1596006273,3,11,11,68,8,2,0,0,1,4,0,0,0,2,2,1800821
YalpStore,com.github.kiliakin.yalpstore.contemporary.debug,1596258413,11,117,150,800,119,25,12,2,21,70,2,4,0,7,7,1800824
Light-Android-Launcher,com.github.postapczuk.lalauncher,1596069609,3,7,9,25,6,1,0,0,2,2,0,1,0,3,0,1803395
PdfViewer,com.gsnathan.pdfviewer,1596068198,6,23,60,300,51,13,1,0,27,9,0,1,0,6,3,1803304
heb12-mobile,com.heb12.heb12,1596088237,2,223,438,1121,357,26,14,0,258,137,0,0,0,2,1,1800059
Phonograph,com.kabouzeid.gramophone.debug,1596185848,3,11,40,171,38,12,0,0,21,5,0,0,0,2,0,2102507
simply-pace,com.marcospoerl.simplypace,1596222026,3,20,37,192,32,2,0,0,14,17,0,0,0,3,1,1800451
onpc,com.mkulesh.onpc,1596028903,3,38,62,297,57,12,3,0,31,12,0,0,0,2,2,1800198
Getoffyourphone,com.nephi.getoffyourphone,1596027057,1,15,23,88,22,17,0,0,2,0,0,2,0,1,1,1800342
moneywallet,com.oriondev.moneywallet.dev,1596111457,16,108,157,720,137,43,1,29,43,29,0,0,0,8,4,1801202
planes,com.planes.android,1596170973,1,4,24,139,16,9,0,0,6,6,0,2,0,1,0,1800495
volume_control_android,com.punksta.apps.volumecontrol,1596243526,3,44,26,238,20,1,0,0,11,9,0,0,0,3,2,1801271
flashcards,com.quchen.flashcard,1596210875,4,100,40,652,32,1,3,2,21,7,0,0,0,4,2,1800479
ArchPackages,com.rascarlo.arch.packages,1595981081,1,155,56,869,49,21,2,0,8,20,0,3,0,1,1,1801661
helsinki-timetables,com.redblaster.hsl.main,1596041803,15,95,1109,2314,1010,459,0,3,444,184,0,10,0,7,2,1800134
democracy-client,com.sha256example,1596225639,2,15,14,114,8,0,2,1,5,2,0,0,0,2,2,1802110
AndroidNetworkTools,com.stealthcotper.networktools,1595980479,2,3,15,46,13,1,0,0,5,2,0,5,0,2,0,1803868
download-navi,com.tachibana.downloader,1596203363,7,188,896,1532,694,44,14,3,286,537,0,4,0,4,4,1802502
calculator-notification,com.tananaev.calculator,1596024037,1,1,3,19,3,0,0,0,1,1,0,0,0,1,0,1800628
lepsi-rozvrh,cz.vitskalicky.lepsirozvrh,1596060418,3,54,15,132,15,2,0,0,9,1,0,0,0,3,0,1803196
RSAndroidApp,de.bahnhoefe.deutschlands.bahnhofsfotos.debug,1596163347,8,55,65,381,52,14,6,0,7,26,0,2,0,6,4,1800603
funktrainer,de.hosenhasser.funktrainer,1595974917,9,154,35,631,32,1,1,0,9,17,0,2,0,3,2,1803379
hu-eduroam,de.hu_berlin.eduroam,1596052924,1,8,10,40,8,0,2,0,4,3,0,0,0,0,1,1803080
pin,de.nproth.pin.debug,1596156223,1,13,9,12,5,2,0,0,0,2,0,4,0,1,0,1800192
ActivityDiary,de.rampro.activitydiary.debug,1596004458,7,129,137,631,117,11,3,0,91,12,0,11,0,5,4,1800806
phyphox-android,de.rwth_aachen.phyphox,1596152478,1,11,6,55,5,2,0,0,0,2,0,0,0,1,1,1801627
dash-wallet,de.schildbach.wallet.integration.sample,1595986579,2,5,2,40,2,0,0,0,2,0,0,0,0,0,0,1803512
selfnet-wificonfig,de.selfnet.wifisetup,1596199772,2,9,18,61,14,3,0,0,6,4,0,3,0,1,1,1801051
DarkCroc-Android-theme,de.spiritcroc.darkcroc.substratum,1595978601,2,7,8,48,8,0,0,0,2,4,0,0,0,2,0,1800756
DefaultDarkTheme-oms,de.spiritcroc.defaultdarktheme_oms,1596148729,2,19,31,147,30,0,0,0,9,21,0,0,0,1,0,1803921
OSMDashboard,de.storchp.opentracks.osmplugin.debug,1596081845,4,24,80,244,75,5,3,0,7,62,0,0,0,2,1,1802207
