projectname,packagename,sessionID,activities_executed,states_visited,violations,widgets,widgets_with_issues,1.1.1 - Non-text Content (A),1.3.5 - Identify Input Purpose (AA),1.4.3 - Contrast Minimum (AA),2.5.5 - Target Size (AAA),GENERAL - Duplicate Content Description (label),BBC - DESIGN - Spacing,1.3.4 - Orientation(AA),2.4.2 - Page Titled (A),exectime
10000sentences,info.puzz.a10000sentences.debug,1595662492,8,126,238,925,224,11,2,204,9,0,0,8,4,1802355
ActivityDiary,de.rampro.activitydiary.debug,1595672461,7,139,128,579,110,13,0,84,11,0,11,4,5,1801425
Aegis,com.beemdevelopment.aegis.debug,1595838119,7,74,88,633,79,38,4,18,20,0,0,6,2,1800337
aelf-dailyreadings,co.epitre.aelf_lectures,1595836286,2,94,193,545,156,11,0,79,92,0,7,2,2,1800796
androdns,androdns.android.leetdreams.ch.androdns,1595646558,4,137,68,195,42,12,1,12,17,2,20,3,1,1800700
android-gotify,com.github.gotify,1595847253,2,10,7,52,5,1,0,1,3,0,0,1,1,1801247
Android-GPSd-Client,io.github.tiagoshibata.gpsdclient,1595822702,1,8,44,31,34,6,1,19,8,0,4,5,1,1804011
AndroidNetworkTools,com.stealthcotper.networktools,1595839946,1,1,8,23,7,1,0,1,1,0,5,0,0,1801543
AndroidPlanisphere,org.tengel.planisphere,1595670462,1,43,78,199,73,2,0,18,56,0,0,1,1,1810729
AnLinux-Adfree,exa.lnx.a,1595845428,1,90,37,136,32,2,0,17,16,0,0,1,1,1801041
AppLock,io.github.subhamtyagi.privacyapplock,1595666476,1,3,12,13,10,4,0,5,1,0,0,1,1,1802492
ArchPackages,com.rascarlo.arch.packages,1595656519,1,227,33,1345,26,4,0,4,20,0,3,1,1,1801360
atalk-android,org.atalk.android,1595815358,8,78,156,368,114,50,4,42,53,0,0,5,2,1800974
Authorizer,net.tjado.passwdsafe,1595841774,3,54,33,374,25,4,2,14,9,0,0,2,2,1802410
C-beam-droid,org.c_base.c_beam,1595888021,11,98,149,967,114,13,4,70,42,0,0,11,9,1803993
calculator-notification,com.tananaev.calculator,1595849080,1,1,2,19,2,0,0,1,1,0,0,0,0,1804743
Calliope-Android-App,cc.calliope.mini,1595820861,3,96,429,963,386,31,0,312,81,0,0,2,3,1812023
ContentBlocker,com.adguard.android.contentblocker,1595869077,1,5,20,63,18,12,0,5,0,0,1,1,1,1801290
DarkCroc-Android-theme,de.spiritcroc.darkcroc.substratum,1595871357,2,6,11,48,11,1,0,2,6,0,0,2,0,1800445
dash-wallet,de.schildbach.wallet.integration.sample,1595658510,1,3,2,20,2,0,0,1,0,0,0,1,0,1800231
DefaultDarkTheme-oms,de.spiritcroc.defaultdarktheme_oms,1595870903,1,19,28,137,27,0,0,8,19,0,0,1,0,1801957
democracy-client,com.sha256example,1595654523,2,16,14,124,8,2,1,5,2,0,0,2,2,1801950
Diaguard,com.faltenreich.diaguard,1595813534,8,86,151,847,139,54,0,62,27,0,0,5,3,1802321
diceware-pass-gen,com.aptasystems.dicewarepasswordgenerator,1595664486,4,45,29,195,21,0,0,6,13,0,8,1,1,1801789
DokuwikiAndroid,com.fabienli.dokuwiki,1595840087,4,42,53,153,46,8,1,28,11,0,0,4,1,1800637
download-navi,com.tachibana.downloader,1595702138,7,148,268,915,207,36,1,126,88,0,5,7,5,1801102
DSAAssistant,eu.roggstar.luigithehunter.dsaassistent,1595856999,8,54,127,322,84,16,0,54,23,13,13,3,5,1800465
Exodus-android-app,org.eu.exodus_privacy.exodusprivacy,1595886169,1,7,10,31,8,5,0,1,2,0,0,1,1,1801087
FediPhoto,com.fediphoto,1595713268,4,34,39,126,33,8,0,4,17,0,2,5,3,1800746
flashcards,com.quchen.flashcard,1595841920,4,101,37,490,27,5,3,16,7,0,0,4,2,1801989
funktrainer,de.hosenhasser.funktrainer,1595819025,6,115,17,175,15,0,0,5,7,0,2,2,1,1800993
GetMiTokens,eu.roggstar.getmitokens,1595704131,2,4,3,30,3,0,0,1,1,0,0,1,0,1802138
Getoffyourphone,com.nephi.getoffyourphone,1595699763,1,14,23,91,22,17,0,2,0,0,2,1,1,1801481
Goodtime,com.apps.adrcotfas.goodtime,1595674697,7,39,20,335,17,10,0,2,2,0,0,3,3,1802120
habpanelviewer,de.vier_bier.habpanelviewer,1595888010,1,7,15,41,15,11,0,2,1,0,0,1,0,1800068
hacs,io.mainframe.hacs,1595791346,5,52,47,289,40,5,2,31,3,0,0,4,2,1801942
Hauk,info.varden.hauk,1595787701,2,27,36,275,24,5,0,5,13,0,9,2,2,1802728
heb12-mobile,com.heb12.heb12,1595845569,1,144,112,510,91,25,0,65,20,0,0,1,1,1802014
helsinki-timetables,com.redblaster.hsl.main,1595804399,12,33,266,601,232,122,0,98,41,0,0,5,0,1801813
hu-eduroam,de.hu_berlin.eduroam,1595785883,1,7,10,39,6,2,0,3,3,0,0,1,1,1804425
huewidgets,is.zi.huewidgets,1595813544,3,5,5,37,5,0,0,2,1,0,0,2,0,1800486
kboard,com.adgad.kboard,1595861455,2,17,19,214,15,4,0,6,5,0,0,2,2,1800515
LDAP-Sync,de.wikilab.android.ldapsync,1595794985,3,18,27,101,20,7,0,6,6,0,3,3,2,1800822
lepsi-rozvrh,cz.vitskalicky.lepsirozvrh,1595815365,3,52,12,129,12,2,0,8,1,0,0,1,0,1800303
Light-Android-Launcher,com.github.postapczuk.lalauncher,1595859460,2,6,6,17,4,1,0,0,2,0,1,2,0,1803378
